Date,Time,Cur.,Event,Imp.,Actual,Forecast,Previous
"Thursday, September 15, 2016",18:00,US,Initial Jobless Claims,,260K,265K,259K
"Friday, September 16, 2016",18:00,US,Core CPI (MoM) (Aug),,0.3%,0.2%,0.1%
"Friday, September 16, 2016",18:00,US,CPI (MoM) (Aug),,0.2%,0.1%,0.0%
"Friday, September 16, 2016",18:00,US,CPI (YoY) (Aug),,1.1%,1.0%,0.8%
"Wednesday, September 21, 2016",23:30,US,Fed Interest Rate Decision,,0.50%,0.50%,0.50%
"Thursday, September 22, 2016",18:00,US,Initial Jobless Claims,,252K,262K,260K
"Thursday, September 29, 2016",18:00,US,Initial Jobless Claims,,254K,260K,251K
"Friday, September 30, 2016",18:00,US,Core PCE Price Index (YoY) (Aug),,1.7%,1.7%,1.6%
"Friday, September 30, 2016",18:00,US,Core PCE Price Index (MoM) (Aug),,0.2%,0.2%,0.1%
"Thursday, October 6, 2016",18:00,US,Initial Jobless Claims,,249K,257K,254K
"Friday, October 7, 2016",18:00,US,Nonfarm Payrolls (Sep),,156K,175K,167K
"Friday, October 7, 2016",18:00,US,Unemployment Rate (Sep),,5.0%,4.9%,4.9%
"Thursday, October 13, 2016",18:00,US,Initial Jobless Claims,,246K,254K,246K
"Tuesday, October 18, 2016",18:00,US,Core CPI (MoM) (Sep),,0.1%,0.2%,0.3%
"Tuesday, October 18, 2016",18:00,US,CPI (MoM) (Sep),,0.3%,0.3%,0.2%
"Tuesday, October 18, 2016",18:00,US,CPI (YoY) (Sep),,1.5%,1.5%,1.1%
"Thursday, October 20, 2016",18:00,US,Initial Jobless Claims,,260K,250K,247K
"Thursday, October 27, 2016",18:00,US,Initial Jobless Claims,,258K,255K,261K
"Monday, October 31, 2016",18:00,US,Core PCE Price Index (YoY) (Sep),,1.7%,1.7%,1.7%
"Monday, October 31, 2016",18:00,US,Core PCE Price Index (MoM) (Sep),,0.1%,0.1%,0.2%
"Wednesday, November 2, 2016",23:30,US,Fed Interest Rate Decision,,0.50%,0.50%,0.50%
"Thursday, November 3, 2016",18:00,US,Initial Jobless Claims,,265K,258K,258K
"Friday, November 4, 2016",18:00,US,Nonfarm Payrolls (Oct),,161K,175K,191K
"Friday, November 4, 2016",18:00,US,Unemployment Rate (Oct),,4.9%,4.9%,5.0%
"Thursday, November 10, 2016",19:00,US,Initial Jobless Claims,,254K,260K,265K
"Thursday, November 17, 2016",19:00,US,Core CPI (MoM) (Oct),,0.1%,0.2%,0.1%
"Thursday, November 17, 2016",19:00,US,CPI (MoM) (Oct),,0.4%,0.4%,0.3%
"Thursday, November 17, 2016",19:00,US,CPI (YoY) (Oct),,1.6%,1.6%,1.5%
"Thursday, November 17, 2016",19:00,US,Initial Jobless Claims,,235K,257K,254K
"Wednesday, November 23, 2016",19:00,US,Initial Jobless Claims,,251K,250K,233K
"Wednesday, November 30, 2016",19:00,US,Core PCE Price Index (YoY) (Oct),,1.7%,,1.7%
"Wednesday, November 30, 2016",19:00,US,Core PCE Price Index (MoM) (Oct),,0.1%,0.1%,0.1%
"Thursday, December 1, 2016",19:00,US,Initial Jobless Claims,,268K,253K,251K
"Friday, December 2, 2016",19:00,US,Nonfarm Payrolls (Nov),,178K,175K,142K
"Friday, December 2, 2016",19:00,US,Unemployment Rate (Nov),,4.6%,4.9%,4.9%
"Thursday, December 8, 2016",19:00,US,Initial Jobless Claims,,258K,258K,268K
"Thursday, December 15, 2016",00:30,US,Fed Interest Rate Decision,,0.75%,0.75%,0.50%
"Thursday, December 15, 2016",19:00,US,Core CPI (MoM) (Nov),,0.2%,0.2%,0.1%
"Thursday, December 15, 2016",19:00,US,CPI (MoM) (Nov),,0.2%,0.2%,0.4%
"Thursday, December 15, 2016",19:00,US,CPI (YoY) (Nov),,1.7%,1.7%,1.6%
"Thursday, December 15, 2016",19:00,US,Initial Jobless Claims,,254K,255K,258K
"Thursday, December 22, 2016",19:00,US,Initial Jobless Claims,,275K,256K,254K
"Thursday, December 22, 2016",20:30,US,Core PCE Price Index (YoY) (Nov),,1.6%,,1.8%
"Thursday, December 22, 2016",20:30,US,Core PCE Price Index (MoM) (Nov),,0.0%,0.1%,0.1%
"Thursday, December 29, 2016",19:00,US,Initial Jobless Claims,,265K,264K,275K
"Thursday, January 5, 2017",19:00,US,Initial Jobless Claims,,235K,260K,263K
"Friday, January 6, 2017",19:00,US,Nonfarm Payrolls (Dec),,156K,178K,204K
"Friday, January 6, 2017",19:00,US,Unemployment Rate (Dec),,4.7%,4.7%,4.6%
"Thursday, January 12, 2017",19:00,US,Initial Jobless Claims,,247K,255K,237K
"Wednesday, January 18, 2017",19:00,US,Core CPI (MoM) (Dec),,0.2%,0.2%,0.2%
"Wednesday, January 18, 2017",19:00,US,CPI (MoM) (Dec),,0.3%,0.3%,0.2%
"Wednesday, January 18, 2017",19:00,US,CPI (YoY) (Dec),,2.1%,2.1%,1.7%
"Thursday, January 19, 2017",19:00,US,Initial Jobless Claims,,234K,254K,249K
"Thursday, January 26, 2017",19:00,US,Initial Jobless Claims,,259K,247K,237K
"Monday, January 30, 2017",19:00,US,Core PCE Price Index (YoY) (Dec),,1.7%,1.7%,1.7%
"Monday, January 30, 2017",19:00,US,Core PCE Price Index (MoM) (Dec),,0.1%,0.1%,0.0%
"Thursday, February 2, 2017",00:30,US,Fed Interest Rate Decision,,0.75%,0.75%,0.75%
"Thursday, February 2, 2017",19:00,US,Initial Jobless Claims,,246K,250K,260K
"Friday, February 3, 2017",19:00,US,Nonfarm Payrolls (Jan),,227K,175K,157K
"Friday, February 3, 2017",19:00,US,Unemployment Rate (Jan),,4.8%,4.7%,4.7%
"Thursday, February 9, 2017",19:00,US,Initial Jobless Claims,,234K,250K,246K
"Wednesday, February 15, 2017",19:00,US,Core CPI (MoM) (Jan),,0.3%,0.2%,0.2%
"Wednesday, February 15, 2017",19:00,US,CPI (MoM) (Jan),,0.6%,0.3%,0.3%
"Wednesday, February 15, 2017",19:00,US,CPI (YoY) (Jan),,2.5%,2.4%,2.1%
"Thursday, February 16, 2017",19:00,US,Initial Jobless Claims,,239K,245K,234K
"Thursday, February 23, 2017",19:00,US,Initial Jobless Claims,,244K,241K,238K
"Wednesday, March 1, 2017",19:00,US,Core PCE Price Index (YoY) (Jan),,1.7%,1.8%,1.7%
"Wednesday, March 1, 2017",19:00,US,Core PCE Price Index (MoM) (Jan),,0.3%,0.2%,0.1%
"Thursday, March 2, 2017",19:00,US,Initial Jobless Claims,,223K,243K,242K
"Thursday, March 9, 2017",19:00,US,Initial Jobless Claims,,243K,235K,223K
"Friday, March 10, 2017",19:00,US,Nonfarm Payrolls (Feb),,235K,200K,238K
"Friday, March 10, 2017",19:00,US,Unemployment Rate (Feb),,4.7%,4.7%,4.8%
"Wednesday, March 15, 2017",18:00,US,Core CPI (MoM) (Feb),,0.2%,0.2%,0.3%
"Wednesday, March 15, 2017",18:00,US,CPI (MoM) (Feb),,0.1%,0.1%,0.6%
"Wednesday, March 15, 2017",18:00,US,CPI (YoY) (Feb),,2.7%,2.7%,2.5%
"Wednesday, March 15, 2017",23:30,US,Fed Interest Rate Decision,,1.00%,1.00%,0.75%
"Thursday, March 16, 2017",18:00,US,Initial Jobless Claims,,241K,240K,243K
"Thursday, March 23, 2017",18:00,US,Initial Jobless Claims,,258K,240K,243K
"Thursday, March 30, 2017",18:00,US,Initial Jobless Claims,,258K,248K,261K
"Friday, March 31, 2017",18:00,US,Core PCE Price Index (YoY) (Feb),,1.8%,1.7%,1.8%
"Friday, March 31, 2017",18:00,US,Core PCE Price Index (MoM) (Feb),,0.2%,0.2%,0.3%
"Thursday, April 6, 2017",18:00,US,Initial Jobless Claims,,234K,250K,259K
"Friday, April 7, 2017",18:00,US,Nonfarm Payrolls (Mar),,98K,180K,219K
"Friday, April 7, 2017",18:00,US,Unemployment Rate (Mar),,4.5%,4.7%,4.7%
"Thursday, April 13, 2017",18:00,US,Initial Jobless Claims,,234K,245K,235K
"Friday, April 14, 2017",18:00,US,Core CPI (MoM) (Mar),,-0.1%,0.2%,0.2%
"Friday, April 14, 2017",18:00,US,CPI (MoM) (Mar),,-0.3%,0.1%,0.1%
"Friday, April 14, 2017",18:00,US,CPI (YoY) (Mar),,2.4%,2.6%,2.7%
"Thursday, April 20, 2017",18:00,US,Initial Jobless Claims,,244K,242K,234K
"Thursday, April 27, 2017",18:00,US,Initial Jobless Claims,,257K,245K,243K
"Monday, May 1, 2017",18:00,US,Core PCE Price Index (YoY) (Mar),,1.6%,,1.8%
"Monday, May 1, 2017",18:00,US,Core PCE Price Index (MoM) (Mar),,-0.1%,-0.1%,0.2%
"Wednesday, May 3, 2017",23:30,US,Fed Interest Rate Decision,,1.00%,1.00%,1.00%
"Thursday, May 4, 2017",18:00,US,Initial Jobless Claims,,238K,247K,257K
"Friday, May 5, 2017",18:00,US,Nonfarm Payrolls (Apr),,211K,185K,79K
"Friday, May 5, 2017",18:00,US,Unemployment Rate (Apr),,4.4%,4.6%,4.5%
"Thursday, May 11, 2017",18:00,US,Initial Jobless Claims,,236K,245K,238K
"Friday, May 12, 2017",18:00,US,Core CPI (MoM) (Apr),,0.1%,0.2%,-0.1%
"Friday, May 12, 2017",18:00,US,CPI (MoM) (Apr),,0.2%,0.2%,-0.3%
"Friday, May 12, 2017",18:00,US,CPI (YoY) (Apr),,2.2%,2.3%,2.4%
"Thursday, May 18, 2017",18:00,US,Initial Jobless Claims,,232K,240K,236K
"Thursday, May 25, 2017",18:00,US,Initial Jobless Claims,,234K,238K,233K
"Tuesday, May 30, 2017",18:00,US,Core PCE Price Index (YoY) (Apr),,1.5%,1.5%,1.6%
"Tuesday, May 30, 2017",18:00,US,Core PCE Price Index (MoM) (Apr),,0.2%,0.1%,-0.1%
"Thursday, June 1, 2017",18:00,US,Initial Jobless Claims,,248K,239K,235K
"Friday, June 2, 2017",18:00,US,Nonfarm Payrolls (May),,138K,185K,174K
"Friday, June 2, 2017",18:00,US,Unemployment Rate (May),,4.3%,4.4%,4.4%
"Thursday, June 8, 2017",18:00,US,Initial Jobless Claims,,245K,240K,255K
"Wednesday, June 14, 2017",18:00,US,Core CPI (MoM) (May),,0.1%,0.2%,0.1%
"Wednesday, June 14, 2017",18:00,US,CPI (MoM) (May),,-0.1%,0.1%,0.2%
"Wednesday, June 14, 2017",18:00,US,CPI (YoY) (May),,1.9%,2.0%,2.2%
"Wednesday, June 14, 2017",23:30,US,Fed Interest Rate Decision,,1.25%,1.25%,1.00%
"Thursday, June 15, 2017",18:00,US,Initial Jobless Claims,,237K,242K,245K
"Thursday, June 22, 2017",18:00,US,Initial Jobless Claims,,241K,240K,238K
"Thursday, June 29, 2017",18:00,US,Initial Jobless Claims,,244K,240K,242K
"Friday, June 30, 2017",18:00,US,Core PCE Price Index (YoY) (May),,1.4%,1.4%,1.5%
"Friday, June 30, 2017",18:00,US,Core PCE Price Index (MoM) (May),,0.1%,0.1%,0.1%
"Thursday, July 6, 2017",18:00,US,Initial Jobless Claims,,248K,243K,244K
"Friday, July 7, 2017",18:00,US,Nonfarm Payrolls (Jun),,222K,179K,152K
"Friday, July 7, 2017",18:00,US,Unemployment Rate (Jun),,4.4%,4.3%,4.3%
"Thursday, July 13, 2017",18:00,US,Initial Jobless Claims,,247K,245K,250K
"Friday, July 14, 2017",18:00,US,Core CPI (MoM) (Jun),,0.1%,0.2%,0.1%
"Friday, July 14, 2017",18:00,US,CPI (MoM) (Jun),,0.0%,0.1%,-0.1%
"Friday, July 14, 2017",18:00,US,CPI (YoY) (Jun),,1.6%,1.7%,1.9%
"Thursday, July 20, 2017",18:00,US,Initial Jobless Claims,,233K,245K,248K
"Wednesday, July 26, 2017",23:30,US,Fed Interest Rate Decision,,1.25%,1.25%,1.25%
"Thursday, July 27, 2017",18:00,US,Initial Jobless Claims,,244K,241K,234K
"Tuesday, August 1, 2017",18:00,US,Core PCE Price Index (YoY) (Jun),,1.5%,1.3%,1.5%
"Tuesday, August 1, 2017",18:00,US,Core PCE Price Index (MoM) (Jun),,0.1%,0.1%,0.1%
"Thursday, August 3, 2017",18:00,US,Initial Jobless Claims,,240K,242K,245K
"Friday, August 4, 2017",18:00,US,Nonfarm Payrolls (Jul),,209K,183K,231K
"Friday, August 4, 2017",18:00,US,Unemployment Rate (Jul),,4.3%,4.3%,4.4%
"Thursday, August 10, 2017",18:00,US,Initial Jobless Claims,,244K,240K,241K
"Friday, August 11, 2017",18:00,US,Core CPI (MoM) (Jul),,0.1%,0.2%,0.1%
"Friday, August 11, 2017",18:00,US,CPI (MoM) (Jul),,0.1%,0.2%,0.0%
"Friday, August 11, 2017",18:00,US,CPI (YoY) (Jul),,1.7%,1.8%,1.6%
"Thursday, August 17, 2017",18:00,US,Initial Jobless Claims,,232K,240K,244K
"Thursday, August 24, 2017",18:00,US,Initial Jobless Claims,,234K,238K,232K
"Thursday, August 31, 2017",18:00,US,Core PCE Price Index (YoY) (Jul),,1.4%,1.4%,1.5%
"Thursday, August 31, 2017",18:00,US,Core PCE Price Index (MoM) (Jul),,0.1%,0.1%,0.1%
"Thursday, August 31, 2017",18:00,US,Initial Jobless Claims,,236K,237K,235K
"Friday, September 1, 2017",18:00,US,Unemployment Rate (Aug),,4.4%,4.3%,4.3%
"Friday, September 1, 2017",18:00,US,Nonfarm Payrolls (Aug),,156K,180K,189K
"Thursday, September 7, 2017",18:00,US,Initial Jobless Claims,,298K,241K,236K
"Thursday, September 14, 2017",18:00,US,Core CPI (MoM) (Aug),,0.2%,0.2%,0.1%
"Thursday, September 14, 2017",18:00,US,CPI (MoM) (Aug),,0.4%,0.3%,0.1%
"Thursday, September 14, 2017",18:00,US,CPI (YoY) (Aug),,1.9%,1.8%,1.7%
"Thursday, September 14, 2017",18:00,US,Initial Jobless Claims,,284K,300K,298K
"Wednesday, September 20, 2017",23:30,US,Fed Interest Rate Decision,,1.25%,1.25%,1.25%
"Thursday, September 21, 2017",18:00,US,Initial Jobless Claims,,259K,300K,282K
"Thursday, September 28, 2017",18:00,US,Initial Jobless Claims,,272K,270K,260K
"Friday, September 29, 2017",18:00,US,Core PCE Price Index (MoM) (Aug),,0.1%,0.2%,0.1%
"Friday, September 29, 2017",18:00,US,Core PCE Price Index (YoY) (Aug),,1.3%,1.4%,1.4%
"Thursday, October 5, 2017",18:00,US,Initial Jobless Claims,,260K,265K,272K
"Friday, October 6, 2017",18:00,US,Nonfarm Payrolls (Sep),,-33K,90K,169K
"Friday, October 6, 2017",18:00,US,Unemployment Rate (Sep),,4.2%,4.4%,4.4%
"Thursday, October 12, 2017",18:00,US,Initial Jobless Claims,,243K,251K,258K
"Friday, October 13, 2017",18:00,US,Core CPI (MoM) (Sep),,0.1%,0.2%,0.2%
"Friday, October 13, 2017",18:00,US,CPI (MoM) (Sep),,0.5%,0.6%,0.4%
"Friday, October 13, 2017",18:00,US,CPI (YoY) (Sep),,2.2%,2.3%,1.9%
"Thursday, October 19, 2017",18:00,US,Initial Jobless Claims,,222K,240K,244K
"Thursday, October 26, 2017",18:00,US,Initial Jobless Claims,,233K,235K,223K
"Monday, October 30, 2017",18:00,US,Core PCE Price Index (MoM) (Sep),,0.1%,0.1%,0.1%
